Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
Dr. Harsh Vardhan,CHANDNI CHOWK,BJP,2,Post Graduate,"Rsÿ2,82,29,308","Rsÿ17,80,492"
,,,,,~ 2ÿCrore+,~ 17ÿLacs+
Ahir Hansraj Gangaram,CHANDRAPUR,BJP,11,10th Pass,"Rsÿ1,55,48,000","Rsÿ99,500"
,,,,,~ 1ÿCrore+,~ 99ÿThou+
Sunil Kumar Singh,CHATRA,BJP,0,Post Graduate,"Rsÿ17,47,44,806","Rsÿ9,50,052"
,,,,,~ 17ÿCrore+,~ 9ÿLacs+
S.R. Vijayakumar,CHENNAI CENTRAL,AIADMK,0,Graduate Professional,"Rsÿ1,34,01,510","Rsÿ3,50,483"
,,,,,~ 1ÿCrore+,~ 3ÿLacs+
Venkatesh Babu .T.G,CHENNAI NORTH,AIADMK,0,Post Graduate,"Rsÿ3,70,38,275","Rsÿ8,04,032"
,,,,,~ 3ÿCrore+,~ 8ÿLacs+
Dr. J. Jayavardhan,CHENNAI SOUTH,AIADMK,0,Graduate Professional,"Rsÿ3,39,59,072","Rsÿ1,09,81,100"
,,,,,~ 3ÿCrore+,~ 1ÿCrore+
Konda Vishweshwar Reddy,CHEVELLA,TRS,0,Post Graduate,"Rsÿ5,28,62,30,210","Rsÿ7,41,11,133"
,,,,,~ 528ÿCrore+,~ 7ÿCrore+
Kamal Nath,CHHINDWARA,INC,0,Graduate,"Rsÿ2,06,90,80,434","Rsÿ5,11,72,087"
,,,,,~ 206ÿCrore+,~ 5ÿCrore+
Rathwa Ramsingbhai Patalbhai,CHHOTA UDAIPUR,BJP,0,Post Graduate,"Rsÿ3,97,69,675","Rsÿ97,63,903"
,,,,,~ 3ÿCrore+,~ 97ÿLacs+
M.Chandrakasi,CHIDAMBARAM,AIADMK,0,Graduate,"Rsÿ72,43,646","Rsÿ20,20,472"
,,,,,~ 72ÿLacs+,~ 20ÿLacs+
M Veerappa Moily,CHIKKBALLAPUR,INC,0,Graduate Professional,"Rsÿ13,73,66,682","Rsÿ3,94,33,827"
,,,,,~ 13ÿCrore+,~ 3ÿCrore+
Prakash Hukkeri,CHIKKODI,INC,0,12th Pass,"Rsÿ7,57,17,628","Rsÿ36,35,650"
,,,,,~ 7ÿCrore+,~ 36ÿLacs+
B.N.Chandrappa,CHITRADURGA,INC,0,Post Graduate,"Rsÿ4,83,03,759","Rsÿ1,38,00,000"
,,,,,~ 4ÿCrore+,~ 1ÿCrore+
Naramalli Sivaprasad,CHITTOOR,TDP,0,Graduate Professional,"Rsÿ1,48,78,003",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Chandra Prakash,CHITTORGARH,BJP,0,Graduate,"Rsÿ1,41,34,693","Rsÿ6,87,284"
,,,,,~ 1ÿCrore+,~ 6ÿLacs+
Rahul Kaswan,CHURU,BJP,0,Graduate,"Rsÿ2,57,21,266","Rsÿ53,86,104"
,,,,,~ 2ÿCrore+,~ 53ÿLacs+
"Nagarajan, P.",COIMBATORE,AIADMK,0,Graduate Professional,"Rsÿ3,43,06,545","Rsÿ22,35,538"
,,,,,~ 3ÿCrore+,~ 22ÿLacs+
Renuka Sinha,COOCHBEHAR,AITC,0,Graduate Professional,"Rsÿ1,30,17,282",Rsÿ0
