Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
Ramesh Kaushik,SONIPAT,BJP,0,Graduate Professional,"Rsÿ14,28,40,716",Rsÿ0
,,,,,~ 14ÿCrore+,~ 
Ramesh Bidhuri,SOUTH DELHI,BJP,4,Graduate Professional,"Rsÿ14,74,93,056",Rsÿ0
,,,,,~ 14ÿCrore+,~ 
Adv. Narendra Keshav Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,"Rsÿ62,60,382",Rsÿ0
,,,,,~ 62ÿLacs+,~ 
Kalyan Banerjee,SREERAMPUR,AITC,1,Graduate Professional,"Rsÿ8,85,12,676","Rsÿ85,82,543"
,,,,,~ 8ÿCrore+,~ 85ÿLacs+
Rammohannaidu Kinjarapu,SRIKAKULAM,TDP,0,Post Graduate,"Rsÿ8,41,73,423",Rsÿ0
,,,,,~ 8ÿCrore+,~ 
Tariq Hameed Karra,SRINAGAR,JKPDP,0,Graduate Professional,"Rsÿ98,45,56,436","Rsÿ15,00,000"
,,,,,~ 98ÿCrore+,~ 15ÿLacs+
"Ramachandran, K.N. Thiru",SRIPERUMBUDUR,AIADMK,0,Post Graduate,"Rsÿ93,67,21,057","Rsÿ8,08,06,268"
,,,,,~ 93ÿCrore+,~ 8ÿCrore+
Feroze Varun Gandhi,SULTANPUR,BJP,0,Post Graduate,"Rsÿ35,73,18,699","Rsÿ1,81,19,000"
,,,,,~ 35ÿCrore+,~ 1ÿCrore+
Jual Oram,SUNDARGARH,BJP,1,Others,"Rsÿ2,42,02,170",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Ranjeet Ranjan,SUPAUL,INC,5,12th Pass,"Rsÿ8,12,42,965",Rsÿ0
,,,,,~ 8ÿCrore+,~ 
Jardosh Darshnaben Vikrambhai,SURAT,BJP,0,Graduate,"Rsÿ1,80,38,444","Rsÿ20,20,458"
,,,,,~ 1ÿCrore+,~ 20ÿLacs+
Fatepara Devajibhai Govindbhai,SURENDRANAGAR,BJP,1,Literate,"Rsÿ1,16,85,000",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Kamalbhan Singh,SURGUJA,BJP,0,Post Graduate,"Rsÿ2,47,73,173","Rsÿ29,95,985"
,,,,,~ 2ÿCrore+,~ 29ÿLacs+
Suvendu Adhikari,TAMLUK,AITC,2,Post Graduate,"Rsÿ64,80,767",Rsÿ0
,,,,,~ 64ÿLacs+,~ 
Mala Rajya Laxmi Shah,TEHRI GARHWAL,BJP,0,12th Pass,"Rsÿ1,66,21,09,875","Rsÿ1,49,00,000"
,,,,,~ 166ÿCrore+,~ 1ÿCrore+
Vasanthi.M,TENKASI,AIADMK,0,Post Graduate,"Rsÿ2,40,14,922",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Ram Prasad Sarmah,TEZPUR,BJP,0,Graduate Professional,"Rsÿ66,55,300",Rsÿ0
,,,,,~ 66ÿLacs+,~ 
Vichare Rajan Baburao,THANE,SHS,13,10th Pass,"Rsÿ10,20,91,612","Rsÿ1,30,54,217"
,,,,,~ 10ÿCrore+,~ 1ÿCrore+
Parasuraman.K,THANJAVUR,AIADMK,0,12th Pass,"Rsÿ14,60,49,347","Rsÿ2,79,54,352"
,,,,,~ 14ÿCrore+,~ 2ÿCrore+
"Parthipan, R.",THENI,AIADMK,0,Graduate,"Rsÿ2,20,47,681","Rsÿ8,69,650"
,,,,,~ 2ÿCrore+,~ 8ÿLacs+
Dr. Shashi Tharoor,THIRUVANANTHAPURAM,INC,0,Doctorate,"Rsÿ23,02,75,186",Rsÿ0
,,,,,~ 23ÿCrore+,~ 
Jeyasingh Thiyagaraj Natterjee.J,THOOTHUKKUDI,AIADMK,0,Post Graduate,"Rsÿ98,22,294",Rsÿ0
,,,,,~ 98ÿLacs+,~ 
C N Jayadevan,THRISSUR,CPI,3,Post Graduate,"Rsÿ2,00,41,642","Rsÿ2,94,000"
,,,,,~ 2ÿCrore+,~ 2ÿLacs+
Dr. Virendra Kumar,TIKAMGARH,BJP,0,Doctorate,"Rsÿ87,64,635",Rsÿ0
,,,,,~ 87ÿLacs+,~ 
P.Kumar S/O Palanivel,TIRUCHIRAPPALLI,AIADMK,0,Graduate Professional,"Rsÿ1,85,22,597","Rsÿ19,17,891"
,,,,,~ 1ÿCrore+,~ 19ÿLacs+
Prabakaran.K.R.P,TIRUNELVELI,AIADMK,0,Graduate Professional,"Rsÿ27,64,500",Rsÿ0
,,,,,~ 27ÿLacs+,~ 
Varaprasad Rao Velagapalli,TIRUPATI,Yuvajana Sramika Rythu Congress Party,0,Doctorate,"Rsÿ12,91,28,388","Rsÿ31,32,962"
,,,,,~ 12ÿCrore+,~ 31ÿLacs+
V.Sathyabama,TIRUPPUR,AIADMK,2,Post Graduate,"Rsÿ2,81,08,573","Rsÿ24,75,755"
,,,,,~ 2ÿCrore+,~ 24ÿLacs+
Venugopal. P. Dr.,TIRUVALLUR,AIADMK,0,Graduate Professional,"Rsÿ2,86,43,502","Rsÿ17,68,538"
,,,,,~ 2ÿCrore+,~ 17ÿLacs+
Vanaroja R,TIRUVANNAMALAI,AIADMK,0,Post Graduate,"Rsÿ37,00,000",Rsÿ0
,,,,,~ 37ÿLacs+,~ 
Sukhbir Singh Jaunapuria,TONK-SAWAI MADHOPUR,BJP,0,12th Pass,"Rsÿ71,41,24,612",Rsÿ0
,,,,,~ 71ÿCrore+,~ 
Jitendra Choudhury,TRIPURA EAST,CPI(M),0,12th Pass,"Rsÿ1,13,22,979","Rsÿ20,30,773"
,,,,,~ 1ÿCrore+,~ 20ÿLacs+
Sankar Prasad Datta,TRIPURA WEST,CPI(M),1,Post Graduate,"Rsÿ13,20,900",Rsÿ0
,,,,,~ 13ÿLacs+,~ 
S.P.Muddahanumegowda,TUMKUR,INC,0,Graduate Professional,"Rsÿ3,02,73,812",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Purno Agitok Sangma,TURA,NPP,0,Post Graduate,"Rsÿ21,51,34,618",Rsÿ0
,,,,,~ 21ÿCrore+,~ 
Arjunlal Meena,UDAIPUR,BJP,0,Post Graduate,"Rsÿ1,70,49,951","Rsÿ81,95,866"
,,,,,~ 1ÿCrore+,~ 81ÿLacs+
Dr. Jitendra Singh,UDHAMPUR,BJP,0,Graduate Professional,"Rsÿ3,84,64,932","Rsÿ11,881"
,,,,,~ 3ÿCrore+,~ 11ÿThou+
Shobha Karandlaje,UDUPI CHIKMAGALUR,BJP,0,Post Graduate,"Rsÿ7,20,89,452","Rsÿ3,81,19,792"
,,,,,~ 7ÿCrore+,~ 3ÿCrore+
Nityanand Rai,UJIARPUR,BJP,1,Graduate,"Rsÿ14,67,43,540","Rsÿ39,65,423"
,,,,,~ 14ÿCrore+,~ 39ÿLacs+
Chintamani Malviya,UJJAIN,BJP,0,Doctorate,"Rsÿ1,88,88,754","Rsÿ54,83,153"
,,,,,~ 1ÿCrore+,~ 54ÿLacs+
Sultan Ahmed,ULUBERIA,AITC,0,Graduate,"Rsÿ2,27,92,936","Rsÿ1,08,78,739"
,,,,,~ 2ÿCrore+,~ 1ÿCrore+
Swami Sachchidanand Hari Sakshi,UNNAO,BJP,8,Doctorate,"Rsÿ3,21,37,597",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Anantkumar Hegde,UTTARA KANNADA,BJP,0,12th Pass,"Rsÿ3,23,67,360","Rsÿ1,51,39,611"
,,,,,~ 3ÿCrore+,~ 1ÿCrore+
Mullappally Ramachandran,VADAKARA,INC,0,Post Graduate,"Rsÿ92,25,000","Rsÿ21,60,000"
,,,,,~ 92ÿLacs+,~ 21ÿLacs+
Narendra Modi,VADODARA,BJP,0,Post Graduate,"Rsÿ1,51,57,582",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Rama Kishore Singh,VAISHALI,LJP,4,Graduate,"Rsÿ2,16,10,218","Rsÿ33,23,006"
,,,,,~ 2ÿCrore+,~ 33ÿLacs+
Satish Dubey,VALMIKI NAGAR,BJP,3,10th Pass,"Rsÿ60,61,576","Rsÿ6,26,789"
,,,,,~ 60ÿLacs+,~ 6ÿLacs+
Dr. K.C.Patel,VALSAD,BJP,0,Graduate Professional,"Rsÿ13,11,41,867","Rsÿ23,81,344"
,,,,,~ 13ÿCrore+,~ 23ÿLacs+
Narendra Modi,VARANASI,BJP,0,Post Graduate,"Rsÿ1,65,91,582",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
"Senguttuvan, B.",VELLORE,AIADMK,0,Post Graduate,"Rsÿ91,97,355","Rsÿ4,40,478"
,,,,,~ 91ÿLacs+,~ 4ÿLacs+
Sushma Swaraj,VIDISHA,BJP,0,Graduate Professional,"Rsÿ17,55,16,422","Rsÿ65,00,000"
,,,,,~ 17ÿCrore+,~ 65ÿLacs+
Srinivas Kesineni,VIJAYAWADA,TDP,3,10th Pass,"Rsÿ1,28,41,22,669","Rsÿ71,54,62,989"
,,,,,~ 128ÿCrore+,~ 71ÿCrore+
S. Rajendran,VILUPPURAM,AIADMK,0,Graduate,"Rsÿ62,00,000","Rsÿ23,71,331"
,,,,,~ 62ÿLacs+,~ 23ÿLacs+
Radhakrishnan,VIRUDHUNAGAR,AIADMK,0,10th Pass,"Rsÿ4,37,36,485","Rsÿ52,73,447"
,,,,,~ 4ÿCrore+,~ 52ÿLacs+
Dr. Kambhampati Hari Babu,VISAKHAPATNAM,BJP,0,Doctorate,"Rsÿ9,01,03,580","Rsÿ18,54,856"
,,,,,~ 9ÿCrore+,~ 18ÿLacs+
Ashok Gajapathi Raju Pusapati,VIZIANAGARAM,TDP,0,10th Pass,"Rsÿ3,90,54,905",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Kadiyam Srihari,WARANGAL,TRS,6,Post Graduate,"Rsÿ1,34,95,000",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Ramdas Chandrabhanji Tadas,WARDHA,BJP,5,10th Pass,"Rsÿ3,36,28,998","Rsÿ17,49,314"
,,,,,~ 3ÿCrore+,~ 17ÿLacs+
M I Shanavas,WAYANAD,INC,0,Post Graduate,"Rsÿ2,71,22,055","Rsÿ77,11,000"
,,,,,~ 2ÿCrore+,~ 77ÿLacs+
Parvesh Sahib Singh,WEST DELHI,BJP,1,Post Graduate,"Rsÿ10,72,35,461","Rsÿ2,66,50,000"
,,,,,~ 10ÿCrore+,~ 2ÿCrore+
Gawali Bhavana Pundlikrao,YAVATMAL-WASHIM,SHS,4,Graduate,"Rsÿ6,08,86,040","Rsÿ73,68,967"
,,,,,~ 6ÿCrore+,~ 73ÿLacs+
B.B.Patil,ZAHIRABAD,TRS,0,Graduate,"Rsÿ1,02,31,73,039","Rsÿ8,35,17,670"
,,,,,~ 102ÿCrore+,~ 8ÿCrore+
