Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Palamau,SC,Jharkhand,BJP,59.40%,M,JMM,11.62,Vishnu Dayal Ram,0,Graduate,24753886,0,62,8.3
Palghar,ST,Maharashtra,BJP,62.90%,M,BVA,8.78,Adv. Chintaman Navasha Wanga,0,Graduate Professional,5809644,401000,63,3.99
Pali,GEN,Rajasthan,BJP,57.90%,M,INC,3.55,P P Choudhary,0,Graduate Professional,353503467,7892216,60,0.22
Panchmahal,GEN,Gujarat,BJP,59.20%,M,BJP,7.12,Chauhan Prabhatsinh Pratapsinh,3,10th Pass,10464000,0,72,-6.96
Parbhani,GEN,Maharashtra,Shiv Sena,64.40%,M,SHS,8.78,Jadhav Sanjay (BANDU) HARIBHAU,7,10th Pass,31016711,5976851,47,3.99
Paschim Champaran,GEN,Bihar,BJP,60.50%,M,BJP,11.53,Dr. Sanjay Jaiswal,2,Post Graduate,35941299,6197804,49,-10.06
Pataliputra,GEN,Bihar,BJP,56.40%,M,JD(U),11.53,Ram Kripal Yadav,1,Graduate,13989431,2100000,53,-10.06
Patan,GEN,Gujarat,BJP,58.70%,M,INC,7.12,Liladharbhai Khodaji Vaghela,0,Graduate Professional,15384027,0,80,-6.96
Pathanamthitta,GEN,Kerala,INC,65.70%,M,INC,18.41,Anto Antony,0,Graduate,5410884,4211050,57,4.39
Patiala,GEN,Punjab,Aam Aadmi Party,70.90%,M,INC,2.55,Dr. Dharam Vira Gandhi,0,Graduate Professional,45115421,0,63,0.44
Patna Sahib,GEN,Bihar,BJP,45.30%,M,BJP,11.53,Shatrughana Sinha,1,Graduate,1317405961,168760929,67,-10.06
Peddapalli,SC,Telangana,Telangana Rashtra Samithi,71.70%,M,INC,2.44,Balka Suman,1,Post Graduate,7351329,620770,31,6.15
Perambalur,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,80.20%,M,DMK,3.11,"Marutharajaa, R.P.",0,Post Graduate,24570213,0,51,7.33
