Candidate,Constituency ?,Party,Criminal Case,Education,Total Assets,Liabilities
BALKRISHNA KHANDERAO SHUKLA,Vadodara,BJP,1,Graduate,"Rsÿ26,62,058","Rsÿ2,16,512"
,,,,,~ 26ÿLacs+,~ 2ÿLacs+
RAGHUVANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,"Rsÿ61,69,238","Rsÿ2,14,137"
,,,,,~ 61ÿLacs+,~ 2ÿLacs+
BAIDYANATH PRASAD MAHTO,Valmiki Nagar,JD(U),1,10th Pass,"Rsÿ44,28,802","Rsÿ5,20,445"
,,,,,~ 44ÿLacs+,~ 5ÿLacs+
KISANBHAI VESTABHAI PATEL,Valsad,INC,2,12th Pass,"Rsÿ15,20,245",Rsÿ0
,,,,,~ 15ÿLacs+,~ 
DR. MURLI MANOHAR JOSHI,Varanasi,BJP,1,Doctorate,"Rsÿ5,44,75,345",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
ABDUL RAHMAN,Vellore,DMK,0,Graduate,"Rsÿ1,25,47,128","Rsÿ32,97,328"
,,,,,~ 1ÿCrore+,~ 32ÿLacs+
SUSHMA SWARAJ,Vidisha,BJP,0,Graduate Professional,"Rsÿ7,35,82,637","Rsÿ58,250"
,,,,,~ 7ÿCrore+,~ 58ÿThou+
L Rajagopal,Vijayawada,INC,0,Graduate Professional,"Rsÿ1,22,29,64,909","Rsÿ2,39,67,984"
,,,,,~ 122ÿCrore+,~ 2ÿCrore+
ANANDAN M,Viluppuram,ADMK,0,12th Pass,"Rsÿ89,38,646","Rsÿ9,67,994"
,,,,,~ 89ÿLacs+,~ 9ÿLacs+
MANICKA TAGORE,Virudhunagar,INC,0,Graduate Professional,"Rsÿ33,13,910",Rsÿ0
,,,,,~ 33ÿLacs+,~ 
D. PURANDARESHWARI,Visakhapatnam,INC,0,Graduate,"Rsÿ20,26,39,034","Rsÿ5,60,000"
,,,,,~ 20ÿCrore+,~ 5ÿLacs+
B. JHANSI,Vizianagaram,INC,1,Post Graduate,"Rsÿ2,29,51,539",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Rajaiah Siricilla,Warangal,INC,0,Graduate,"Rsÿ42,24,704","Rsÿ14,61,167"
,,,,,~ 42ÿLacs+,~ 14ÿLacs+
DATTA MEGHE,Wardha,INC,0,Graduate,"Rsÿ28,77,39,495","Rsÿ7,00,08,871"
,,,,,~ 28ÿCrore+,~ 7ÿCrore+
M I Shanavas,Wayanad,INC,0,Post Graduate,"Rsÿ2,39,04,424","Rsÿ25,48,978"
,,,,,~ 2ÿCrore+,~ 25ÿLacs+
MAHABAL MISHRA,West Delhi,INC,0,12th Pass,"Rsÿ6,19,94,338","Rsÿ9,89,118"
,,,,,~ 6ÿCrore+,~ 9ÿLacs+
BHAVANA GAWALI (PATIL),Yavatmal-Washim,SHS,1,Graduate,"Rsÿ3,03,99,471","Rsÿ24,30,911"
,,,,,~ 3ÿCrore+,~ 24ÿLacs+
SURESH KUMAR SHETKAR,Zahirabad,INC,0,Graduate,"Rsÿ30,11,999",Rsÿ0
,,,,,~ 30ÿLacs+,~ 
