Candidate,Constituency ?,Party,Criminal Case,Education,Total Assets,Liabilities
SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,"Rsÿ1,81,46,428","Rsÿ19,80,887"
,,,,,~ 1ÿCrore+,~ 19ÿLacs+
KAVURI SAMBASIVA RAO,Eluru,INC,0,Graduate Professional,"Rsÿ12,60,50,111","Rsÿ9,45,674"
,,,,,~ 12ÿCrore+,~ 9ÿLacs+
Prof K V Thomas,Ernakulam,INC,0,Post Graduate,"Rsÿ1,50,41,664","Rsÿ22,09,490"
,,,,,~ 1ÿCrore+,~ 22ÿLacs+
GANESHAMURTHI.A.,Erode,MDMK,1,Graduate,"Rsÿ2,67,29,518","Rsÿ10,85,323"
,,,,,~ 2ÿCrore+,~ 10ÿLacs+
PREMDAS,Etawah,SP,1,Graduate,"Rsÿ42,28,828",Rsÿ0
,,,,,~ 42ÿLacs+,~ 
NIRMAL KHATRI,Faizabad,INC,0,Doctorate,"Rsÿ66,70,000","Rsÿ5,771"
,,,,,~ 66ÿLacs+,~ 5ÿThou+
AVTAR SINGH BHADANA,Faridabad,INC,1,8th Pass,"Rsÿ4,05,73,585",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
PARAMJIT KAUR GULSHAN,Faridkot,SAD,0,Post Graduate,"Rsÿ1,42,08,609","Rsÿ21,85,837"
,,,,,~ 1ÿCrore+,~ 21ÿLacs+
SALMAN KHURSHEED,Farrukhabad,INC,0,Post Graduate,"Rsÿ2,61,40,421","Rsÿ47,65,556"
,,,,,~ 2ÿCrore+,~ 47ÿLacs+
SUKHDEV SINGH,Fatehgarh Sahib,INC,0,10th Pass,"Rsÿ1,70,83,247",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
RAKESH SACHAN,Fatehpur,SP,7,Post Graduate,"Rsÿ4,09,55,595",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
SEEMA UPADHAYAY,Fatehpur Sikri,BSP,0,Graduate,"Rsÿ2,65,45,096","Rsÿ15,95,708"
