,Candidate,Constituency..,Party,Criminal.Case,Education,Total.Assets,Liabilities,,,,
335,MITRASEN,Faizabad,BSP,27,12th Pass,5380516,318855,,,,
337,AVTAR SINGH BHADANA,Faridabad,INC,0,8th Pass,9763648,0,,,,
339,SUKHBIR SINGH BADAL,Faridkot,SAD,1,Post Graduate,133811603,17359781,,,,
341,CHANDRA BHUSHAN SINGH (MUNNOO BABU),Farrukhabad,SP,0,Post Graduate,9594069,768000,,,,
343,MAHENDRA PRASAD NISHAD,Fatehpur,BSP,0,Graduate,1082468,56554,,,,
345,ZORA SINGH MAAN,Ferozepur,SAD,1,10th Pass,5561000,723000,,,,
347,RAM JI LAL SUMAN,Firozabad,SP,2,Graduate,4235985,0,,,,
349,L. K. ADVANI,Gandhinagar,BJP,0,Graduate Professional,13042443,554000,,,,
351,NIHALCHAND MEGHWAL,Ganganagar,BJP,0,Graduate,2282422,168941,,,,
353,MAJ. GEN. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),Garhwal,BJP,0,Graduate Professional,7242679,0,,,,
355,KIRIP CHALIHA,Gauhati,INC,0,Post Graduate,9202689,205430,,,,
357,RAJESH KUMAR MANJHI,Gaya,RJD,0,8th Pass,NA,26000,,,,
359,RADHEY SHYAM KORI,Ghatampur,SP,0,10th Pass,1868196,0,,,,
361,AFAJAL ANSARI,Ghazipur,SP,1,Post Graduate,5085464,38022,,,,
363,CHANDRADEO PRASAD RAJBHAR,Ghosi,SP,0,Post Graduate,600143,0,,,,
365,TEK LAL MAHTO,Giridih,JMM,1,Graduate,625000,0,,,,
367,"ELANGOVAN, E. V. K. S.",Gobichettipalayam,INC,13,Graduate,5031000,0,,,,
369,FURKAN ANSARI,Godda,INC,3,Graduate,1499897,8.00E+05,,,,
371,SOLANKI BHUPENDRASINH PRABHATSINH,Godhra,BJP,0,Graduate Professional,2724746,0,,,,
373,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,Gonda,SP,0,Post Graduate,8600704,595401,,,,
375,ANIRUDH PRASAD ALIAS SADHU YADAV,Gopalganj,RJD,3,Graduate,5234219,443268,,,,
377,ADITYA NATH,Gorakhpur,BJP,0,Graduate,960672,0,,,,
379,IQBAL AHMED SARADGI,Gulbarga,INC,0,Graduate Professional,11451875,0,,,,
381,JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,35827904,0,,,,
383,RAYAPATI SAMBASIVA RAO,Guntur,INC,0,Not Given,48198297,9889900,,,,
385,VINOD KHANNA,Gurdaspur,BJP,0,Graduate,81081889,1236000,,,,
387,RAMSEVAK SINGH ( BABUJI),Gwalior,INC,0,5th Pass,5443950,0,,,,
389,RAM VILAS PASWAN,Hajipur,LJNSP,0,Post Graduate,8332433,0,,,,
391,RAJNARAYAN ALIAS RAJJU MAHRAJ,Hamirpur,SP,0,Graduate Professional,2640727,387411,,,,
393,SURESH CHANDEL,Hamirpur,BJP,0,Post Graduate,6426759,1069724,,,,
395,B.VINOD KUMAR,Hanamkonda,TRS,0,Graduate,10011716,0,,,,
397,SURENDRA PRAKASH GOYAL,Hapur,INC,1,8th Pass,6164616,0,,,,
399,USHA VERMA,Hardoi,SP,0,Post Graduate,976000,2.00E+05,,,,
401,RAJENDRA KUMAR,Hardwar,SP,0,8th Pass,2394512,0,,,,
403,H. D. DEVEGOWDA,Hassan,JD(S),0,Others,11439574,3582261,,,,
405,KISHAN LAL DILER,Hathras,BJP,0,Not Given,2089121,0,,,,
407,BHUBNESHWAR PRASAD MEHTA,Hazaribagh,CPI,1,12th Pass,970342,250000,,,,
409,NIZAMODDIN,Hindupur,INC,0,Graduate,1405000,200779,,,,
411,SURYAKANTA PATIL,Hingoli,NCP,2,Graduate,15307225,272088,,,,
413,JAI PARKASH,Hissar,INC,5,12th Pass,4568812,245760,,,,
415,Rupchand Pal,Hooghly,CPM,0,Post Graduate,893720,435000,,,,
417,SARTAJ SINGH,Hoshangabad,BJP,0,Graduate,14878898,654724,,,,
419,AVINASH RAI KHANNA,Hoshiarpur,BJP,0,Graduate Professional,1623665,0,,,,
421,Swadesh Chakrabortty,Howrah,CPM,0,Graduate,1545667,0,,,,
423,ASADUDDIN OWAISI,Hyderabad,AIMIM,3,Graduate Professional,3902342,0,,,,
425,MANE NIVEDITA SAMBHAJIRAO,Ichalkaranji,NCP,0,Graduate,7913845,387564,,,,
427,K. FRANCIS GEORGE,Idukki,KEC,1,Graduate Professional,11417962,78919,,,,
429,SUMITRA MAHAJAN,Indore,BJP,0,Post Graduate,4422500,1250000,,,,
431,DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,1107278,80660,,,,
433,RAKESH SINGH,Jabalpur,BJP,0,Graduate,6327291,0,,,,
435,Sujan Chakraborty,Jadavpur,CPM,0,Doctorate,1046232,0,,,,
437,BRAHMANANDA PANDA,Jagatsinghpur,BJD,0,Post Graduate,5982315,53760,,,,
439,GANESH PRASAD SINGH,Jahanabad,RJD,0,Post Graduate,8990298,294350,,,,
441,GIRDHARI LAL BHARGAVA,Jaipur,BJP,0,Graduate Professional,14248322,196196,,,,
443,MOHAN JENA,Jajpur,BJD,0,Post Graduate,870000,22568,,,,
445,BHANU PRATAP SINGH VERMA,Jalaun,BJP,1,Post Graduate,446550,114460,,,,
447,PRO. S.P SINGH BAGHEL,Jalesar,SP,1,Post Graduate,5623000,787357,,,,
449,Y. G. MAHAJAN (SIR),Jalgaon,BJP,1,Post Graduate,6719861,0,,,,
451,DANVE RAOSAHEB DADARAO PATIL,Jalna,BJP,0,12th Pass,9681004,715955,,,,
453,B. SUSHEELA,Jalore,BJP,0,Post Graduate,9629204,904335,,,,
455,Minati Sen,Jalpaiguri,CPM,0,Graduate Professional,1711703,47377,,,,
457,MADAN LAL SHARMA,Jammu,INC,0,10th Pass,6217000,149750,,,,
459,AHIR VIKRAMBHAI,Jamnagar,INC,0,Graduate,4837028,574600,,,,
461,SUNIL KUMAR MAHATO,Jamshedpur,JMM,3,Graduate,3058500,0,,,,
463,Pranab Mukherjee,Jangipur,INC,0,Doctorate,15204925,217267,,,,
465,PARASNATH YADAVA,Jaunpur,SP,0,12th Pass,2941300,0,,,,
467,KANTILAL BHURIA,Jhabua,INC,0,Post Graduate,14041825,0,,,,
469,DUSHYANT SINGH,Jhalawar,BJP,0,Post Graduate,7082067,0,,,,
471,DEVENDRA PRASAD YADAV,Jhanjharpur,RJD,0,Graduate,1137321,245123,,,,
473,CHANDRAPAL SINGH YADAV,Jhansi,SP,1,Post Graduate,5307820,0,,,,
475,Rupchand Murmu,Jhargram,CPM,1,12th Pass,1041089,101870,,,,
477,SHISH RAM OLA,Jhunjhunu,INC,0,10th Pass,4771614,984980,,,,
479,JASWANT SINGH BISHNOI,Jodhpur,BJP,0,Graduate Professional,6993029,489166,,,,
481,BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,1356192,0,,,,
483,Sanat Kumar Mandal,Joynagar,RSP,0,Graduate Professional,2189190,0,,,,
485,RANA GURJEET SINGH,Jullundur,INC,0,10th Pass,205828008,2500000,,,,
487,BARAD JASUBHAI DHANABHAI,Junagadh,INC,2,Graduate,18457408,0,,,,
489,DINSHA PATEL,Kaira,INC,0,10th Pass,5727475,3083830,,,,
491,ANURADHA CHOUDHARY,Kairana,RLD,0,Graduate,43904200,0,,,,
493,BENI PRASAD VERMA,Kaiserganj,SP,0,Graduate Professional,4112560,0,,,,
495,BIKRAM KESHARI DEO,Kalahandi,BJP,0,Graduate,3237000,10823,,,,
497,DIP GOGOI,Kaliabor,INC,0,Graduate,342751,0,,,,
499,TEJASHWINI SEE RAMESH,Kanakapura,INC,0,Post Graduate,1160000,0,,,,
501,ANANTHKUMAR HEGDE,Kanara,BJP,3,12th Pass,1206000,13401653,,,,
503,CHANDER KUMAR,Kangra,INC,0,Post Graduate,7304760,1916918,,,,
505,SOHAN POTAI,Kanker,BJP,0,Post Graduate,2113856,71932,,,,
507,AKHILESH YADAV,Kannauj,SP,0,Post Graduate,23142705,0,,,,
509,SHRIPRAKASH JAISWAL,Kanpur,INC,0,10th Pass,19127260,0,,,,
511,VAGHELA SHANKERSINH LAXMANSINH,Kapadvanj,INC,0,Post Graduate,7004174,0,,,,
513,PATIL SHRINIWAS DADASAHEB,Karad,NCP,0,Post Graduate,12494141,0,,,,
515,LALIT MOHAN SUKLABAIDYA,Karimganj,INC,0,Post Graduate,4197600,240000,,,,
517,K. CHANDRA SHAKHER RAO,Karimnagar,TRS,0,Graduate,8598858,2559507,,,,
519,ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,5736332,0,,,,
521,KRISHNA TIRATH,Karol Bagh,INC,0,Graduate Professional,6415254,0,,,,
523,"PALANISAMY, K. C.",Karur,DMK,0,5th Pass,546569007,63920476,,,,
525,P. KARUNAKARAN,Kasaragod,CPM,20,Post Graduate,5190249,10330,,,,
527,NIKHIL KUMAR CHOUDHARY,Katihar,BJP,1,Graduate,4535938,0,,,,
529,Mahboob Zahedi,Katwa,CPM,0,10th Pass,2705606,332383,,,,
531,ARCHANA NAYAK,Kendrapara,BJD,0,Post Graduate,384400,32000,,,,
533,ANANTA NAYAK,Keonjhar,BJP,0,12th Pass,818420,69086,,,,
535,RABINDRA KU. RANA,Khagaria,RJD,1,Graduate Professional,6336271,0,,,,
537,DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),Khajuraho,BJP,0,Doctorate,5183173,986766,,,,
539,BHALCHANDRA YADAVA,Khalilabad,BSP,10,Graduate,651000,260630,,,,
541,RENUKA CHOWDHURY,Khammam,INC,1,Post Graduate,136912161,300414,,,,
543,NAND KUMAR SINGH CHAUHAN ( NANDU BHAIYA),Khandwa,BJP,0,Graduate,4510192,947000,,,,
545,KRISHNA MURARI MOGHE,Khargone,BJP,0,Graduate,7414005,88719,,,,
547,ADHALARAO PATIL SHIVAJIRAO,Khed,SHS,0,Post Graduate,52230281,12332651,,,,
549,RAVI PRAKASH VERMA,Kheri,SP,0,Graduate Professional,2916963,246079,,,,
551,SUSHILA KERKETTA,Khunti,INC,0,Post Graduate,3328161,0,,,,
553,ASHOK KUMAR PRADHAN,Khurja,BJP,0,Others,11589733,0,,,,
555,TASLIMUDDIN,Kishanganj,RJD,9,Literate,5525834,1012986,,,,
557,BABULAL MARANDI,Kodarma,BJP,0,Graduate,5.00E+05,460000,,,,
559,SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,IND,0,Graduate,1694686,0,,,,
561,A. R. ANTULAY,Kolaba,INC,0,Graduate Professional,28468000,0,,,,
563,K.H. MUNIYAPPA,Kolar,INC,0,Graduate,6187039,397195,,,,
565,MANDLIK SADASHIVRAO DADOBA,Kolhapur,NCP,2,Graduate,8842586,986985,,,,
567,E. V. ALIAS BALASAHEB VIKHE PATIL,Kopargaon,INC,0,10th Pass,36937860,764653,,,,
