"","Candidate","Constituency","Party","Criminal.Case","Education","Total.Assets","Liabilities"
"119","Ananth Kumar","BANGALORE SOUTH","BJP",0,"Graduate Professional",45224706,2883233
"121","Kapil Krishna Thakur","BANGAON","AITC",0,"Graduate",9667890,0
"123","Jaiprakash Narayan Yadav","BANKA","RJD",2,"Post Graduate",27846274,791539
"125","Sreemati Dev Varma (Moon Moon Sen)","BANKURA","AITC",0,"Post Graduate",15314000,1013000
"127","Kamlesh Paswan","BANSGAON","BJP",0,"Graduate",101640625,14568500
"129","Manshankar Ninama","BANSWARA","BJP",0,"8th Pass",4040285,870146
"131","Malyadri Sriram","BAPATLA","TDP",0,"Post Graduate",45359744,0
"133","Priyanka Singh Rawat","BARABANKI","BJP",0,"Post Graduate",13175500,1450000
"135","Supriya Sule","BARAMATI","NCP",0,"Graduate",1139090851,0
"137","Muzaffar Hussain Baig","BARAMULLA","JKPDP",0,"Post Graduate",200707183,11401285
"139","Dr. Kakali Ghoshdostidar","BARASAT","AITC",0,"Graduate Professional",31254311,1168220
"141","Sunil Kumar Mondal","BARDHAMAN PURBA","AITC",0,"Graduate Professional",11841000,1420000
"143","Mamtaz Sanghamita","BARDHAMAN-DURGAPUR","AITC",0,"Post Graduate",107680000,0
"145","Parbhubhai Nagarbhai Vasava","BARDOLI","BJP",1,"Others",15909957,1353400
"147","Santosh Gangwar","BAREILLY","BJP",0,"Graduate Professional",38602862,1777215
"149","Prabhas Kumar Singh","BARGARH","BJD",0,"Doctorate",5786971,670000
"151","Col. Sona Ram","BARMER","BJP",1,"Graduate Professional",174678454,5584331
"153","Siraj Uddin Ajmal","BARPETA","AIUDF",0,"Graduate",670806607,0
"155","Dinesh Trivedi","BARRACKPUR","AITC",0,"Post Graduate",53582340,15661349
"157","Idris Ali","BASIRHAT","AITC",9,"Graduate Professional",9800277,0
"159","Dinesh Kashyap","BASTAR","BJP",1,"Post Graduate",16108199,2191216
"161","Harish Chandra","BASTI","BJP",2,"Post Graduate",5350882,860185
"163","Harsimrat Kaur Badal","BATHINDA","SAD",0,"10th Pass",1081664910,412634299
"165","Munde Gopinathrao Pandurang","BEED","BJP",3,"Graduate Professional",380072890,335729817
"167","Bhola Singh","BEGUSARAI","BJP",0,"Doctorate",25248102,0
"169","Suresh Angadi","BELGAUM","BJP",1,"Graduate Professional",417003065,366283849
"171","B Sreeramulu","BELLARY","BJP",8,"Graduate",151392844,4050947
"173","Sidhant Mohapatra","BERHAMPUR","BJD",0,"Graduate",16462430,1183828
"175","Jyoti Dhurve","BETUL","BJP",2,"Post Graduate",26232000,1e+06
"177","Virendra Singh","BHADOHI","BJP",0,"Graduate",11531458,791186
"179","Arjun Charan Sethi","BHADRAK","BJD",0,"Post Graduate",6730000,2424000
"181","Shailesh Kumar Urph Bulo Mandal","BHAGALPUR","RJD",1,"12th Pass",20216734,0
"183","Nanabhau Falgunrao Patole","BHANDARA-GONDIYA","BJP",5,"Graduate",12738190,0
"185","Bahadur Singh","BHARATPUR","BJP",0,"Literate",19142363,1333100
"187","Mansukhbhai Dhanjibhai Vasava","BHARUCH","BJP",0,"Post Graduate",6571062,639000
"189","Shyal Bhartiben Dhirubhai","BHAVNAGAR","BJP",0,"Graduate Professional",7748925,3072058
"191","Subhash Chandra Baheria","BHILWARA","BJP",0,"Graduate",142870042,8665902
"193","Bhagirath Prasad","BHIND","BJP",0,"Doctorate",21240286,3687610
"195","Kapil Moreshwar Patil","BHIWANDI","BJP",0,"Graduate",363758831,10697367
"197","Dharambir","BHIWANI-MAHENDRAGARH","BJP",0,"Graduate",50057200,4530000
"199","Dr. Narsaiah Boora","BHONGIR","TRS",0,"Post Graduate",202983225,13574088
"201","Alok Sanjar","BHOPAL","BJP",0,"Graduate Professional",14594066,3e+05
"203","Prasanna Kumar Patasani,","BHUBANESWAR","BJD",0,"Post Graduate",13557443,9590067
"205","Bhagwanth","BIDAR","BJP",0,"Graduate Professional",56559290,16829000
"207","Ramesh Jigajinagi","BIJAPUR","BJP",2,"Graduate",89429828,5305043
"209","Kunwar Bhartendra","BIJNOR","BJP",2,"Post Graduate",24840646,0
"211","Arjun Ram Meghwal","BIKANER","BJP",0,"Post Graduate",18142863,1216408
"213","Lakhanlal Sau S/O Kalyan Lal Sahu","BILASPUR","BJP",0,"Post Graduate",8661133,306357
"215","Satabdi Roy(Banerjee)","BIRBHUM","AITC",0,"Graduate",54972174,5478944
"217","Saumitra Khan","BISHNUPUR","AITC",1,"12th Pass",1197255,0
"219","Kalikesh Narayan Singh Deo","BOLANGIR","BJD",2,"Graduate",87955818,24410449
"221","Anupam Hazra","BOLPUR","AITC",0,"Doctorate",4866883,0
"223","Dr. Bhola Singh","BULANDSHAHR","BJP",0,"Graduate",12577537,0
"225","Jadhav Prataprao Ganpatrao","BULDHANA","SHS",2,"12th Pass",36033147,684092
"227","Ashwini Kumar Choubey","BUXAR","BJP",0,"Graduate",22094499,1923552
"229","Innocent","CHALAKUDY","IND",0,"8th Pass",54474761,1303000
"231","R. Dhruvanarayana","CHAMARAJANAGAR","INC",0,"Post Graduate",31519950,2605818
"233","Mahendra Nath","CHANDAULI","BJP",0,"Doctorate",26489505,1114000
"235","Smt. Kirron Kher","CHANDIGARH","BJP",0,"Post Graduate",335343871,1886187
"237","Dr. Harsh Vardhan","CHANDNI CHOWK","BJP",2,"Post Graduate",28229308,1780492
"239","Ahir Hansraj Gangaram","CHANDRAPUR","BJP",11,"10th Pass",15548000,99500
"241","Sunil Kumar Singh","CHATRA","BJP",0,"Post Graduate",174744806,950052
"243","S.R. Vijayakumar","CHENNAI CENTRAL","AIADMK",0,"Graduate Professional",13401510,350483
"245","Venkatesh Babu .T.G","CHENNAI NORTH","AIADMK",0,"Post Graduate",37038275,804032
